iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.06557030975818634
1000,-0.88,2.12,8,0.04353290796279907
1500,-1.0,2.0,10,0.048666782677173615
2000,-0.89,2.11,9,0.06940218806266785
2500,-1.0,2.0,9,0.05570764094591141
3000,-1.0,2.0,9,0.0522296279668808
3500,-1.0,2.0,9,0.043694205582141876
4000,-1.0,2.0,8,0.06600496172904968
4500,-1.0,2.0,8,0.05184466391801834
5000,-1.0,2.0,9,0.04593083634972572
5500,-1.0,2.0,8,0.055561453104019165
6000,-1.0,2.0,9,0.04185895621776581
6500,-1.0,2.0,9,0.039816536009311676
7000,-1.0,2.0,9,0.04160389304161072
7500,-1.0,2.0,9,0.05224434658885002
8000,-0.9,2.1,10,0.0446048378944397
8500,-0.9,2.1,10,0.04626340791583061
9000,-0.89,2.11,9,0.0462583526968956
9500,-1.0,2.0,10,0.05157263204455376
10000,-1.0,2.0,8,0.044297877699136734
10500,-1.0,2.0,9,0.04434726759791374
11000,-1.0,2.0,8,0.06496965885162354
11500,-1.0,2.0,8,0.04086794704198837
12000,-0.88,2.12,8,0.04597769305109978
12500,-1.0,2.0,10,0.053443439304828644
13000,-1.0,2.0,9,0.055642835795879364
