iteration,reward_mean,length_mean,games,loss
500,-0.88,2.12,8,0.047014907002449036
1000,-0.89,2.11,9,0.035276368260383606
1500,-1.0,2.0,8,0.05882701650261879
2000,-1.0,2.0,10,0.04692026600241661
2500,-1.0,2.0,10,0.042020294815301895
3000,-1.0,2.0,10,0.05207213759422302
3500,-1.0,2.0,10,0.07584797590970993
4000,-1.0,2.0,8,0.059101302176713943
4500,-1.0,2.0,11,0.04091394692659378
5000,-1.0,2.0,9,0.04878144711256027
5500,-0.8,2.2,10,0.05708801746368408
6000,-1.0,2.0,8,0.05650749430060387
6500,-1.0,2.0,8,0.027125593274831772
7000,-1.0,2.0,9,0.04562244191765785
7500,-1.0,2.0,8,0.044029101729393005
8000,-1.0,2.0,8,0.040132757276296616
8500,-0.88,2.12,8,0.04661454260349274
9000,-1.0,2.0,8,0.06737567484378815
9500,-0.88,2.12,8,0.04761509969830513
10000,-1.0,2.0,8,0.029477912932634354
10500,-1.0,2.0,9,0.05322008579969406
11000,-0.88,2.12,8,0.03149303048849106
11500,-1.0,2.0,8,0.04056188836693764
12000,-1.0,2.0,9,0.05508144199848175
12500,-0.88,2.12,8,0.04175599664449692
13000,-0.89,2.11,9,0.06321366876363754
13500,-1.0,2.0,9,0.048979781568050385
14000,-1.0,2.0,8,0.0686488226056099
14500,-0.9,2.1,10,0.039544932544231415
15000,-0.9,2.1,10,0.03575201332569122
15500,-0.78,2.22,9,0.039511218667030334
16000,-1.0,2.0,8,0.04564172774553299
16500,-1.0,2.0,8,0.030400294810533524
17000,-1.0,2.0,8,0.044878311455249786
17500,-1.0,2.0,9,0.04161319136619568
18000,-1.0,2.0,9,0.03126686066389084
18500,-1.0,2.0,8,0.05153947323560715
19000,-1.0,2.0,8,0.01987399347126484
19500,-1.0,2.0,8,0.04762348532676697
20000,-1.0,2.0,12,0.0450676828622818
20500,-0.89,2.11,9,0.04081302508711815
21000,-0.88,2.12,8,0.03908863291144371
21500,-1.0,2.0,11,0.03986191749572754
22000,-1.0,2.0,9,0.05049408599734306
22500,-1.0,2.0,10,0.060836490243673325
23000,-0.88,2.12,8,0.042985688894987106
23500,-0.89,2.11,9,0.044027455151081085
24000,-1.0,2.0,8,0.018501007929444313
24500,-1.0,2.0,10,0.04955950006842613
25000,-0.78,2.22,9,0.048799775540828705
25500,-1.0,2.0,8,0.04200403392314911
26000,-0.91,2.09,11,0.04393180459737778
26500,-1.0,2.0,8,0.05472242087125778
27000,-1.0,2.0,8,0.04374532029032707
27500,-0.89,2.11,9,0.04298824816942215
28000,-1.0,2.0,9,0.040483806282281876
28500,-0.82,2.18,11,0.03961312770843506
29000,-1.0,2.0,10,0.038981784135103226
29500,-1.0,2.0,9,0.03767911717295647
30000,-0.88,2.12,8,0.03986175358295441
30500,-0.88,2.12,8,0.025897083804011345
31000,-1.0,2.0,9,0.03956945985555649
31500,-0.88,2.12,8,0.03118891827762127
32000,-1.0,2.0,9,0.042842086404561996
32500,-1.0,2.0,8,0.03642555698752403
33000,-1.0,2.0,10,0.051896609365940094
33500,-1.0,2.0,9,0.06111878901720047
34000,-1.0,2.0,8,0.058199524879455566
34500,-0.89,2.11,9,0.052974700927734375
35000,-1.0,2.0,9,0.045917823910713196
35500,-1.0,2.0,8,0.023833325132727623
36000,-1.0,2.0,10,0.030771750956773758
36500,-1.0,2.0,10,0.031451594084501266
37000,-1.0,2.0,9,0.026524294167757034
37500,-1.0,2.0,8,0.04694458097219467
38000,-1.0,2.0,8,0.045023974031209946
38500,-1.0,2.0,8,0.05251245200634003
39000,-0.89,2.11,9,0.04958564043045044
39500,-1.0,2.0,9,0.05099840462207794
40000,-1.0,2.0,9,0.04037557542324066
40500,-1.0,2.0,10,0.0438251756131649
41000,-0.75,2.25,8,0.03377667814493179
41500,-1.0,2.0,8,0.03928130120038986
42000,-1.0,2.0,9,0.05595391243696213
42500,-1.0,2.0,8,0.03378598392009735
43000,-0.62,2.38,8,0.031448688358068466
43500,-1.0,2.0,8,0.03614795580506325
44000,-1.0,2.0,10,0.04097457975149155
44500,-1.0,2.0,8,0.04929050803184509
45000,-1.0,2.0,8,0.03638967499136925
45500,-1.0,2.0,8,0.029501132667064667
46000,-1.0,2.0,8,0.01949276402592659
46500,-0.75,2.25,8,0.03516882658004761
47000,-0.9,2.1,10,0.01580895483493805
47500,-1.0,2.0,9,0.02108154259622097
48000,-1.0,2.0,8,0.024703815579414368
48500,-1.0,2.0,8,0.02176716923713684
49000,-1.0,2.0,9,0.02729339525103569
49500,-0.78,2.22,9,0.021398494020104408
50000,-1.0,2.0,8,0.040240295231342316
50500,-0.88,2.12,8,0.036298707127571106
51000,-0.88,2.12,8,0.049857303500175476
51500,-1.0,2.0,9,0.01671302318572998
52000,-1.0,2.0,9,0.03698325157165527
52500,-1.0,2.0,9,0.049982719123363495
53000,-1.0,2.0,8,0.01652195304632187
53500,-1.0,2.0,9,0.023770157247781754
54000,-1.0,2.0,8,0.030531270429491997
54500,-1.0,2.0,8,0.029263917356729507
55000,-1.0,2.0,8,0.023449964821338654
55500,-1.0,2.0,8,0.0393698513507843
56000,-1.0,2.0,8,0.01980041153728962
56500,-1.0,2.0,8,0.048380542546510696
57000,-1.0,2.0,8,0.038204677402973175
57500,-0.88,2.12,8,0.031547967344522476
58000,-1.0,2.0,8,0.03054584376513958
58500,-0.9,2.1,10,0.03358415886759758
59000,-0.88,2.12,8,0.018513815477490425
59500,-1.0,2.0,11,0.026640407741069794
60000,-1.0,2.0,10,0.03360942751169205
60500,-1.0,2.0,10,0.02671777829527855
61000,-0.75,2.25,8,0.019207365810871124
61500,-1.0,2.0,8,0.03777507320046425
62000,-1.0,2.0,8,0.034138526767492294
62500,-1.0,2.0,9,0.024416107684373856
63000,-1.0,2.0,8,0.06127062812447548
63500,-1.0,2.0,8,0.026834864169359207
64000,-0.75,2.25,8,0.020542606711387634
64500,-1.0,2.0,8,0.01889502815902233
65000,-1.0,2.0,9,0.022405199706554413
65500,-1.0,2.0,9,0.016475403681397438
66000,-1.0,2.0,10,0.02050917036831379
66500,-1.0,2.0,8,0.016608811914920807
67000,-1.0,2.0,8,0.019090164452791214
67500,-1.0,2.0,9,0.03950309753417969
68000,-1.0,2.0,8,0.03740561008453369
68500,-0.89,2.11,9,0.018507134169340134
69000,-1.0,2.0,8,0.012944092974066734
69500,-0.88,2.12,8,0.015798049047589302
70000,-0.62,2.38,8,0.019712066277861595
70500,-1.0,2.0,8,0.02325490489602089
71000,-1.0,2.0,8,0.021617472171783447
71500,-1.0,2.0,8,0.032411523163318634
72000,-1.0,2.0,8,0.02725769579410553
72500,-1.0,2.0,11,0.011058934964239597
73000,-0.89,2.11,9,0.03440270572900772
73500,-1.0,2.0,10,0.03227255493402481
74000,-1.0,2.0,9,0.020395388826727867
74500,-0.89,2.11,9,0.028615398332476616
75000,-1.0,2.0,8,0.045073892921209335
75500,-1.0,2.0,10,0.03577079996466637
76000,-1.0,2.0,10,0.026280559599399567
76500,-1.0,2.0,8,0.03111124411225319
77000,-1.0,2.0,8,0.018699483945965767
77500,-1.0,2.0,9,0.012962508015334606
78000,-1.0,2.0,8,0.03575301170349121
78500,-1.0,2.0,9,0.040539488196372986
79000,-1.0,2.0,9,0.03630766272544861
79500,-1.0,2.0,8,0.01102979201823473
80000,-1.0,2.0,13,0.028039049357175827
80500,-1.0,2.0,8,0.019181160256266594
81000,-1.0,2.0,8,0.012464398518204689
81500,-1.0,2.0,8,0.016946202144026756
82000,-1.0,2.0,9,0.02849188819527626
82500,-1.0,2.0,8,0.038165826350450516
83000,-1.0,2.0,8,0.023029934614896774
83500,-1.0,2.0,8,0.019283102825284004
84000,-1.0,2.0,10,0.030853964388370514
84500,-0.9,2.1,10,0.02819538488984108
85000,-1.0,2.0,8,0.04230769723653793
85500,-1.0,2.0,10,0.02782859466969967
86000,-1.0,2.0,8,0.040556710213422775
86500,-1.0,2.0,8,0.019505640491843224
87000,-1.0,2.0,8,0.020413391292095184
87500,-1.0,2.0,9,0.018128003925085068
88000,-0.89,2.11,9,0.05322375148534775
88500,-0.78,2.22,9,0.020312752574682236
89000,-1.0,2.0,8,0.00988208968192339
89500,-1.0,2.0,8,0.02819538116455078
90000,-0.88,2.12,8,0.02471645548939705
90500,-1.0,2.0,9,0.016323665156960487
91000,-1.0,2.0,8,0.0390985868871212
91500,-0.78,2.22,9,0.02214660868048668
92000,-1.0,2.0,9,0.016726087778806686
92500,-1.0,2.0,9,0.015668416395783424
93000,-1.0,2.0,8,0.023499399423599243
93500,-1.0,2.0,8,0.017351264134049416
94000,-1.0,2.0,10,0.013213727623224258
94500,-1.0,2.0,8,0.015780160203576088
95000,-1.0,2.0,10,0.04729584604501724
95500,-1.0,2.0,10,0.028200389817357063
96000,-1.0,2.0,10,0.03820563852787018
96500,-1.0,2.0,9,0.04039308428764343
97000,-0.89,2.11,9,0.03352094069123268
97500,-0.75,2.25,8,0.020038243383169174
98000,-1.0,2.0,9,0.04111640900373459
98500,-0.88,2.12,8,0.01857481151819229
99000,-1.0,2.0,9,0.028686972334980965
99500,-1.0,2.0,8,0.04065635800361633
100000,-1.0,2.0,9,0.012287801131606102
100500,-0.78,2.22,9,0.02769029140472412
101000,-1.0,2.0,9,0.02737738937139511
101500,-1.0,2.0,8,0.02441234700381756
102000,-1.0,2.0,8,0.024579346179962158
102500,-1.0,2.0,10,0.015140606090426445
103000,-1.0,2.0,8,0.04985513538122177
103500,-1.0,2.0,8,0.03224429488182068
104000,-1.0,2.0,8,0.03549354523420334
104500,-1.0,2.0,9,0.007289711851626635
105000,-1.0,2.0,9,0.019424084573984146
105500,-1.0,2.0,8,0.028993362560868263
106000,-1.0,2.0,8,0.022870823740959167
106500,-1.0,2.0,8,0.004421209450811148
107000,-1.0,2.0,8,0.020542804151773453
107500,-1.0,2.0,8,0.013607433997094631
108000,-1.0,2.0,9,0.019211694598197937
108500,-0.89,2.11,9,0.03599722310900688
109000,-1.0,2.0,9,0.022411078214645386
109500,-1.0,2.0,10,0.015021903440356255
110000,-1.0,2.0,11,0.01485990546643734
110500,-1.0,2.0,8,0.025726301595568657
111000,-1.0,2.0,8,0.0394551083445549
111500,-1.0,2.0,8,0.03019140101969242
112000,-1.0,2.0,10,0.04352908581495285
112500,-1.0,2.0,10,0.03332465887069702
113000,-1.0,2.0,8,0.02823609858751297
113500,-1.0,2.0,8,0.01374488789588213
114000,-1.0,2.0,8,0.03382378816604614
114500,-1.0,2.0,10,0.019981563091278076
115000,-1.0,2.0,8,0.022929998114705086
115500,-1.0,2.0,8,0.054779570549726486
116000,-0.88,2.12,8,0.046977296471595764
116500,-1.0,2.0,9,0.03175642341375351
117000,-1.0,2.0,8,0.02734558843076229
117500,-1.0,2.0,10,0.028788764029741287
118000,-1.0,2.0,10,0.03741315379738808
118500,-1.0,2.0,8,0.02791181392967701
119000,-1.0,2.0,8,0.02849813923239708
