iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.04340123385190964
1000,-1.0,2.0,10,0.06446971744298935
1500,-1.0,2.0,8,0.07283078134059906
2000,-1.0,2.0,8,0.048400137573480606
2500,-0.9,2.1,10,0.07252801954746246
3000,-1.0,2.0,10,0.05428355932235718
3500,-0.89,2.11,9,0.05642133206129074
4000,-1.0,2.0,9,0.05689997225999832
4500,-1.0,2.0,8,0.06084135174751282
5000,-1.0,2.0,9,0.06904268264770508
5500,-1.0,2.0,9,0.041193801909685135
6000,-1.0,2.0,8,0.04491795599460602
6500,-1.0,2.0,11,0.03644765913486481
7000,-1.0,2.0,10,0.06529491394758224
7500,-1.0,2.0,9,0.07209225744009018
8000,-1.0,2.0,8,0.042295023798942566
8500,-0.88,2.12,8,0.07003223150968552
9000,-1.0,2.0,9,0.06441441923379898
9500,-1.0,2.0,9,0.05471073091030121
10000,-1.0,2.0,8,0.06332695484161377
10500,-0.75,2.25,8,0.08121366798877716
11000,-1.0,2.0,10,0.05990948528051376
11500,-1.0,2.0,10,0.04672090709209442
12000,-1.0,2.0,8,0.05470896139740944
12500,-1.0,2.0,8,0.05516381934285164
13000,-1.0,2.0,9,0.0550556480884552
13500,-1.0,2.0,10,0.06006389856338501
14000,-0.89,2.11,9,0.04709583893418312
14500,-1.0,2.0,9,0.08697612583637238
15000,-1.0,2.0,8,0.06613294035196304
15500,-1.0,2.0,9,0.049535199999809265
16000,-1.0,2.0,8,0.05702095478773117
16500,-1.0,2.0,8,0.05539757385849953
17000,-1.0,2.0,8,0.04878687113523483
17500,-1.0,2.0,8,0.053407058119773865
18000,-0.89,2.11,9,0.061365775763988495
18500,-0.82,2.18,11,0.062144674360752106
19000,-1.0,2.0,8,0.06088922917842865
19500,-1.0,2.0,8,0.058672547340393066
20000,-1.0,2.0,8,0.06043265387415886
20500,-1.0,2.0,9,0.05857348442077637
21000,-0.9,2.1,10,0.05572370067238808
21500,-1.0,2.0,8,0.048094742000103
22000,-0.91,2.09,11,0.054453298449516296
22500,-1.0,2.0,9,0.05758598446846008
23000,-1.0,2.0,8,0.07148540019989014
23500,-1.0,2.0,8,0.06140153110027313
24000,-1.0,2.0,8,0.07216674089431763
24500,-0.89,2.11,9,0.060664836317300797
25000,-0.91,2.09,11,0.056712064892053604
25500,-1.0,2.0,8,0.06822562217712402
26000,-1.0,2.0,10,0.06365418434143066
26500,-1.0,2.0,8,0.07061098515987396
27000,-1.0,2.0,9,0.05413270369172096
27500,-0.9,2.1,10,0.05656253546476364
28000,-1.0,2.0,10,0.05759366229176521
28500,-1.0,2.0,9,0.04820054769515991
29000,-0.89,2.11,9,0.06815943866968155
29500,-1.0,2.0,10,0.06541531533002853
