iteration,reward_mean,length_mean,games,loss
500,-0.78,2.22,9,0.013967813923954964
1000,0.0,2.12,8,0.004123419523239136
1500,0.12,2.12,8,0.009151723235845566
2000,0.0,2.12,8,0.0032789362594485283
2500,0.25,2.25,8,0.0026975437067449093
3000,0.12,2.12,8,0.007817976176738739
3500,0.38,2.38,8,0.0024595740251243114
4000,1.62,3.88,8,0.0013402194017544389
4500,2.25,4.83,12,0.0021917286794632673
5000,2.0,4.25,8,0.0038486714474856853
5500,4.5,7.5,8,0.0027342592366039753
6000,3.18,5.64,11,0.0026043900288641453
6500,4.62,7.62,8,0.0023287562653422356
7000,5.75,8.75,8,0.006404972169548273
7500,5.62,8.62,8,0.0037853107787668705
8000,6.5,9.5,8,0.003450886346399784
8500,5.62,8.62,8,0.011615430004894733
9000,5.75,8.75,8,0.004283526912331581
9500,4.88,7.88,8,0.009311798959970474
10000,7.12,10.12,8,0.013177674263715744
10500,7.5,10.5,8,0.011794447898864746
11000,7.38,10.38,8,0.0090221231803298
11500,3.75,6.75,8,0.009663842618465424
12000,7.62,10.62,8,0.011141452938318253
12500,4.25,7.25,8,0.013899153098464012
13000,10.38,13.38,8,0.019693611189723015
13500,7.88,10.88,8,0.012984189204871655
14000,8.75,11.75,8,0.015199771150946617
14500,3.5,6.5,8,0.022790467366576195
15000,8.88,11.88,8,0.01830088160932064
15500,7.62,10.62,8,0.015172626823186874
16000,10.38,13.38,8,0.016368040814995766
16500,8.75,11.75,8,0.021315138787031174
17000,8.88,11.88,8,0.0315077006816864
17500,10.38,13.38,8,0.033781152218580246
18000,8.25,11.25,8,0.01362108439207077
18500,8.0,11.0,8,0.020368538796901703
19000,9.5,12.5,8,0.0366264283657074
19500,6.88,9.88,8,0.0288679338991642
20000,10.0,13.0,8,0.028484966605901718
20500,6.62,9.62,8,0.02145063318312168
21000,11.62,14.62,8,0.01775767281651497
21500,9.5,12.5,8,0.01703386753797531
22000,12.12,15.12,8,0.017211174592375755
22500,8.62,11.62,8,0.022490523755550385
23000,11.88,14.88,8,0.028956905007362366
23500,12.38,15.38,8,0.019048411399126053
24000,7.88,10.88,8,0.03372059017419815
24500,9.25,12.25,8,0.013423404656350613
25000,5.0,8.0,8,0.017800454050302505
25500,12.0,15.0,8,0.028858613222837448
26000,9.0,12.0,8,0.02318631485104561
26500,11.88,14.88,8,0.025457987561821938
27000,13.5,16.5,8,0.03209186717867851
27500,11.38,14.38,8,0.0175962932407856
28000,11.0,14.0,8,0.016365129500627518
28500,14.75,17.75,8,0.017596658319234848
29000,15.88,18.88,8,0.023964054882526398
29500,11.38,14.38,8,0.014041162095963955
30000,11.22,14.22,9,0.010540001094341278
30500,8.12,11.12,8,0.0357653982937336
31000,13.5,16.5,8,0.022358646616339684
31500,13.12,16.12,8,0.025141818448901176
32000,13.88,16.88,8,0.031872913241386414
32500,11.62,14.62,8,0.047150902450084686
33000,15.88,18.88,8,0.04260778799653053
33500,13.0,16.0,8,0.022700684145092964
34000,14.5,17.5,8,0.025981184095144272
34500,10.38,13.38,8,0.021518342196941376
35000,10.62,13.62,8,0.03123096004128456
35500,15.88,18.88,8,0.07844318449497223
36000,13.62,16.62,8,0.023893393576145172
36500,14.25,17.25,8,0.019666297361254692
37000,12.25,15.25,8,0.031152334064245224
37500,11.62,14.62,8,0.03973129019141197
38000,12.25,15.25,8,0.062160950154066086
38500,11.38,14.38,8,0.01229926012456417
39000,14.62,17.62,8,0.031914979219436646
39500,11.0,14.0,8,0.020744360983371735
40000,13.62,16.62,8,0.03197187930345535
40500,17.38,20.38,8,0.029245059937238693
41000,7.5,10.5,8,0.05157793313264847
41500,15.5,18.5,8,0.04357166588306427
42000,16.88,19.88,8,0.021964333951473236
42500,14.88,17.88,8,0.02111642248928547
43000,15.0,18.0,8,0.050111956894397736
43500,12.62,15.62,8,0.0451207160949707
44000,16.0,19.0,8,0.028105393052101135
44500,13.12,16.12,8,0.033821698278188705
45000,11.88,14.88,8,0.03285636752843857
45500,16.0,19.0,8,0.04928744211792946
46000,13.25,16.25,8,0.04868638888001442
46500,13.75,16.75,8,0.02843247354030609
47000,14.75,17.75,8,0.0356675386428833
47500,12.38,15.38,8,0.017449241131544113
48000,9.25,12.25,8,0.046403348445892334
48500,15.5,18.5,8,0.024263329803943634
49000,17.75,20.75,8,0.02784421294927597
49500,14.0,17.0,8,0.033283427357673645
50000,13.5,16.5,8,0.01809004321694374
50500,17.38,20.38,8,0.022491754963994026
51000,16.38,19.38,8,0.0238377433270216
51500,13.12,16.12,8,0.01649782806634903
52000,13.75,16.75,8,0.018870757892727852
52500,12.38,15.38,8,0.02862790785729885
53000,17.62,20.62,8,0.07221534103155136
53500,14.62,17.62,8,0.04555942863225937
54000,15.12,18.12,8,0.03930584341287613
54500,16.12,19.12,8,0.017196521162986755
55000,13.88,16.88,8,0.027390131726861
55500,19.12,22.12,8,0.058341316878795624
56000,18.5,21.5,8,0.04347173869609833
56500,15.25,18.25,8,0.047353655099868774
57000,19.62,22.62,8,0.027988266199827194
57500,17.62,20.62,8,0.03535197675228119
58000,14.62,17.62,8,0.03217098489403725
58500,18.12,21.12,8,0.039168477058410645
59000,19.75,22.75,8,0.033730678260326385
59500,12.25,15.25,8,0.029318924993276596
60000,15.12,18.12,8,0.02867879904806614
60500,14.38,17.38,8,0.041138410568237305
61000,16.12,19.12,8,0.03583483025431633
61500,20.38,23.38,8,0.046695299446582794
62000,14.25,17.25,8,0.041693851351737976
62500,17.88,20.88,8,0.023438207805156708
63000,15.25,18.25,8,0.03359511122107506
63500,16.12,19.12,8,0.03344906494021416
64000,19.0,22.0,8,0.03616528958082199
64500,18.38,21.38,8,0.028096530586481094
65000,20.88,23.88,8,0.04650811851024628
65500,19.5,22.5,8,0.017829373478889465
66000,13.12,16.12,8,0.03569236397743225
66500,14.88,17.88,8,0.013532361015677452
67000,21.88,24.88,8,0.027291616424918175
67500,18.25,21.25,8,0.03417487069964409
68000,17.88,20.88,8,0.022506829351186752
68500,16.62,19.62,8,0.01952037215232849
69000,13.12,16.12,8,0.033296097069978714
69500,15.5,18.5,8,0.022058023139834404
70000,17.0,20.0,8,0.01764090545475483
70500,20.12,23.12,8,0.020214388146996498
71000,15.88,18.88,8,0.023820100352168083
71500,17.62,20.62,8,0.023628298193216324
72000,20.0,23.0,8,0.016838623210787773
72500,20.25,23.25,8,0.03969762474298477
73000,19.12,22.12,8,0.021034516394138336
73500,18.88,21.88,8,0.016219833865761757
74000,22.88,25.88,8,0.025361932814121246
74500,13.25,16.25,8,0.028772715479135513
75000,19.75,22.75,8,0.034191109240055084
75500,17.75,20.75,8,0.02932911552488804
76000,15.62,18.62,8,0.02283431962132454
76500,20.25,23.25,8,0.01681680604815483
77000,21.38,24.38,8,0.02270689234137535
77500,22.62,25.62,8,0.021356984972953796
78000,19.62,22.62,8,0.023178739473223686
78500,20.25,23.25,8,0.024060046300292015
79000,20.75,23.75,8,0.020203251391649246
79500,20.12,23.12,8,0.03424271196126938
80000,19.25,22.25,8,0.01288999430835247
80500,12.25,15.25,8,0.042796045541763306
81000,15.12,18.12,8,0.01275145448744297
81500,18.0,21.0,8,0.025987409055233
82000,19.75,22.75,8,0.04705844074487686
82500,21.38,24.38,8,0.026372525840997696
83000,18.62,21.62,8,0.03633624315261841
83500,20.88,23.88,8,0.03089480847120285
84000,20.25,23.25,8,0.02613389678299427
84500,20.5,23.5,8,0.019412457942962646
85000,18.25,21.25,8,0.024087484925985336
85500,14.38,17.38,8,0.026221754029393196
86000,21.62,24.62,8,0.02870531938970089
86500,24.62,27.62,8,0.018976852297782898
87000,19.25,22.25,8,0.047263845801353455
87500,14.88,17.88,8,0.02362722158432007
88000,20.12,23.12,8,0.037667907774448395
88500,18.0,21.0,8,0.023754017427563667
89000,20.25,23.25,8,0.030988357961177826
89500,21.25,24.25,8,0.016411270946264267
90000,17.5,20.5,8,0.021488025784492493
90500,19.12,22.12,8,0.025763949379324913
91000,17.88,20.88,8,0.029409470036625862
91500,20.25,23.25,8,0.028909236192703247
92000,11.78,14.78,9,0.023203689604997635
92500,18.25,21.25,8,0.02984142303466797
93000,18.25,21.25,8,0.05329102277755737
93500,21.62,24.62,8,0.03197065740823746
94000,15.0,18.0,8,0.03204488754272461
94500,21.38,24.38,8,0.029026690870523453
95000,21.25,24.25,8,0.04130953550338745
95500,16.25,19.25,8,0.01680688187479973
96000,21.0,24.0,8,0.031469281762838364
96500,17.88,20.88,8,0.018366102129220963
97000,18.75,21.75,8,0.0260180551558733
97500,20.25,23.25,8,0.020426053553819656
98000,19.12,22.12,8,0.02095264010131359
98500,19.75,22.75,8,0.03729856014251709
99000,21.12,24.12,8,0.028321947902441025
99500,20.38,23.38,8,0.017864808440208435
100000,18.12,21.12,8,0.02263643592596054
100500,17.33,20.33,9,0.03316948562860489
101000,18.25,21.25,8,0.02161208912730217
101500,22.25,25.25,8,0.018910562619566917
102000,20.75,23.75,8,0.026298535987734795
102500,19.62,22.62,8,0.022205490618944168
103000,23.0,26.0,8,0.021452218294143677
103500,17.25,20.25,8,0.02137381210923195
104000,20.38,23.38,8,0.025968866422772408
104500,22.62,25.62,8,0.030816204845905304
105000,24.38,27.38,8,0.024287590757012367
105500,22.5,25.5,8,0.030445434153079987
106000,20.12,23.12,8,0.017470311373472214
106500,20.75,23.75,8,0.019517991691827774
107000,14.25,17.25,8,0.017707668244838715
107500,20.88,23.88,8,0.050678081810474396
108000,20.25,23.25,8,0.020528696477413177
108500,20.5,23.5,8,0.028046423569321632
109000,22.38,25.38,8,0.026338700205087662
109500,22.12,25.12,8,0.03396010398864746
110000,22.0,25.0,8,0.016761496663093567
110500,20.75,23.75,8,0.01337620709091425
111000,23.25,26.25,8,0.021825939416885376
111500,18.25,21.25,8,0.02647024765610695
112000,18.0,21.0,8,0.01776299625635147
112500,23.12,26.12,8,0.01822541281580925
113000,24.5,27.5,8,0.0413963682949543
113500,25.5,28.5,8,0.020031940191984177
114000,15.12,18.12,8,0.022430941462516785
114500,21.25,24.25,8,0.02530042454600334
115000,21.5,24.5,8,0.008345521986484528
115500,23.0,26.0,8,0.03215019404888153
116000,22.75,25.75,8,0.06071976572275162
116500,22.5,25.5,8,0.017141878604888916
117000,19.75,22.75,8,0.011226523667573929
117500,23.12,26.12,8,0.015799034386873245
118000,24.12,27.12,8,0.027248889207839966
118500,16.12,19.12,8,0.022401779890060425
119000,18.0,21.0,8,0.019889704883098602
119500,8.88,11.88,8,0.021156854927539825
120000,25.0,28.0,8,0.01919432170689106
120500,21.12,24.12,8,0.011552012525498867
121000,21.38,24.38,8,0.014074284583330154
121500,22.75,25.75,8,0.018007658421993256
122000,20.75,23.75,8,0.03249064087867737
122500,16.75,19.75,8,0.020479056984186172
123000,21.88,24.88,8,0.01814538612961769
123500,20.5,23.5,8,0.014993950724601746
124000,19.75,22.75,8,0.019398238509893417
124500,23.12,26.12,8,0.027800966054201126
125000,23.38,26.38,8,0.02310166507959366
125500,20.12,23.12,8,0.015405066311359406
126000,20.12,23.12,8,0.014218499884009361
126500,21.0,24.0,8,0.03284424915909767
127000,18.5,21.5,8,0.03545684367418289
127500,22.12,25.12,8,0.03204368054866791
128000,21.25,24.25,8,0.019724015146493912
128500,22.25,25.25,8,0.02919613942503929
129000,16.25,19.25,8,0.02021382935345173
129500,21.62,24.62,8,0.026522638276219368
130000,17.88,20.88,8,0.015127579681575298
130500,20.75,23.75,8,0.016354000195860863
131000,19.5,22.5,8,0.022361736744642258
131500,21.5,24.5,8,0.03241089731454849
132000,21.62,24.62,8,0.017387431114912033
132500,19.62,22.62,8,0.015268783085048199
133000,24.12,27.12,8,0.03240586444735527
133500,19.88,22.88,8,0.037878941744565964
134000,22.62,25.62,8,0.024541672319173813
134500,21.62,24.62,8,0.023424610495567322
135000,22.78,25.78,9,0.020565496757626534
135500,22.0,25.0,8,0.030999816954135895
136000,22.12,25.12,8,0.03513938933610916
136500,23.25,26.25,8,0.038707178086042404
137000,24.38,27.38,8,0.025918079540133476
137500,21.62,24.62,8,0.028361158445477486
138000,24.0,27.0,8,0.035582974553108215
138500,24.88,27.88,8,0.016763482242822647
139000,22.0,25.0,8,0.02488778717815876
139500,21.0,24.0,8,0.03694037348031998
140000,22.75,25.75,8,0.025179430842399597
140500,14.38,17.38,8,0.02406289614737034
141000,22.88,25.88,8,0.010981732048094273
141500,24.62,27.62,8,0.0350523442029953
142000,19.75,22.75,8,0.052800584584474564
142500,20.88,23.88,8,0.023991255089640617
143000,20.88,23.88,8,0.019287124276161194
143500,21.88,24.88,8,0.012703108601272106
144000,21.0,24.0,8,0.02193458564579487
144500,25.12,28.12,8,0.03356064856052399
145000,20.62,23.62,8,0.0254872664809227
145500,25.62,28.62,8,0.028880517929792404
146000,19.62,22.62,8,0.019825108349323273
146500,22.0,25.0,8,0.0279083251953125
147000,21.38,24.38,8,0.022785158827900887
147500,21.25,24.25,8,0.010507630184292793
148000,18.62,21.62,8,0.03450268507003784
148500,24.25,27.25,8,0.04395417496562004
149000,22.25,25.25,8,0.049712780863046646
149500,23.75,26.75,8,0.029694903641939163
150000,17.75,20.75,8,0.049111220985651016
150500,22.75,25.75,8,0.029604420065879822
151000,23.75,26.75,8,0.018633082509040833
151500,21.88,24.88,8,0.027364060282707214
152000,22.5,25.5,8,0.017052767798304558
152500,24.75,27.75,8,0.02289639227092266
153000,24.62,27.62,8,0.02316201664507389
153500,24.0,27.0,8,0.010959988459944725
154000,22.62,25.62,8,0.020157460123300552
154500,22.0,25.0,8,0.020980138331651688
155000,22.38,25.38,8,0.016773950308561325
155500,21.12,24.12,8,0.02134154736995697
156000,22.88,25.88,8,0.01984429731965065
156500,19.75,22.75,8,0.03458897024393082
157000,23.38,26.38,8,0.029016945511102676
157500,24.0,27.0,8,0.01499982550740242
158000,23.62,26.62,8,0.023206118494272232
